Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.5,1001387032,5446,183875.7,146560.0,50944,407199,74563.8,"void exl3_moe_kernel<(int)3, (int)128, (int)2, (int)32>(const __half *, __half *, __half *, __half *, __half *, float *, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const long *, const long *, const __half *, int, int, int, int, int, int, float, int, int, int, int, int *, float *, const long *, int, int)"
1.4,943991823,23354,40421.0,47776.0,3872,53408,15707.8,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
1.1,733951690,9976,73571.7,72032.0,35424,127647,15298.0,"<unnamed>::e3_metadata_kernel(const long *, const long *, const __half *, long *, __half *, int *, int *, int *, int *, int *, int *, int)"
1.1,722968825,9976,72470.8,75136.0,39872,79840,7602.2,"<unnamed>::e3_det_reduce_kernel(float *, const float *, const long *, const long *, const __half *, const long *, const __half *const *, int, int, int)"
0.9,603394943,8712,69260.2,80128.0,9919,87072,24383.6,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
0.9,601378817,9392,64031.0,50672.5,7904,143519,50779.5,"void exl3_gemm_kernel<(int)4, (bool)1, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.8,548564676,7560,72561.5,74176.0,47840,79967,7149.8,_causal_conv1d_update_slotted_output_kernel
0.8,516687223,79808,6474.1,6144.0,5888,8896,666.4,"void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, (bool)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.7,478453317,17424,27459.4,3104.0,1312,64704,28790.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.6,425673798,5096,83531.0,87264.0,11840,137087,26539.9,"void exl3_gemm_kernel<(int)4, (bool)0, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.6,415414043,8712,47683.0,55456.0,5504,57952,17276.5,chunk_fwd_kernel_o
0.5,364974535,11736,31098.7,47360.0,1536,50720,21667.1,"void gated_rms_norm_kernel<(int)32, __half, __nv_bfloat16, float>(const __nv_bfloat16 *, const T3 *, T2 *, const T4 *, float, int, int, float, int, bool, int)"
0.4,259619229,8712,29800.2,34496.0,5728,38432,10333.1,recompute_w_u_fwd_kernel
0.4,256640060,5536,46358.4,46223.5,14400,103968,21449.9,_dsa_indexer_kernel
0.4,246339333,8712,28275.9,31456.0,12096,33983,7229.8,chunk_gated_delta_rule_fwd_kkt_solve_kernel
0.2,155622219,15570,9995.0,14048.0,2976,15008,5299.2,"routing_std_topk_kernel(const __half *, long *, __half *, const __nv_bfloat16 *, const __half *, int, int, int)"
0.2,152417473,11496,13258.3,15488.0,1632,16736,4882.4,"add_sigmoid_kernel_f(const float *, const float *, float *, unsigned long, unsigned long)"
0.2,141917566,4140,34279.6,52576.0,2304,54880,23613.9,"void rope_kernel<(int)2, (bool)1>(const __half *, __half *, const __half *, __half *, const float *, int, int, int, int, int, int, int, int, int, const unsigned int *, const unsigned int *, float, const void *, const void *, float, float, bool, int, float, int, int, int, int)"
0.2,130671053,224,583352.9,578064.0,572703,600861,9398.5,_paged_attn_prefill_kernel
0.2,121983562,404,301939.5,302639.5,121216,485025,176182.2,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_nn_align8>(T1::Params)
0.2,117497333,2100,55951.1,56608.0,24800,97695,16268.0,"void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<(int)2, (int)2, (bool)1>(MoeCoopParams)"
0.2,115291626,6292,18323.5,21760.0,3456,28000,8045.4,"void dsa_topk_kernel<(bool)1>(const __half *, int *, int, int, int, int, const int *, int)"
0.2,114158919,23963,4764.0,5248.0,800,43679,2771.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,109073809,8316,13116.1,11856.0,10560,18144,2087.2,"void gr_v2_dots_i8_kernel<(int)8>(const float *, const signed char *, const float *, float *, int, int, int)"
0.2,103604043,9976,10385.3,10368.0,5408,29631,1688.6,"<unnamed>::e3_det_prep_kernel(const long *, const long *, int *, long *, long *, int, int)"
0.1,97667945,736,132701.0,119424.0,112512,224416,24436.4,"void exl3_moe_kernel<(int)2, (int)128, (int)2, (int)64>(const __half *, __half *, __half *, __half *, __half *, float *, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const long *, const long *, const __half *, int, int, int, int, int, int, float, int, int, int, int, int *, float *, const long *, int, int)"
0.1,97587449,688,141842.2,121471.0,112512,291359,35724.0,"void exl3_moe_kernel<(int)3, (int)128, (int)2, (int)64>(const __half *, __half *, __half *, __half *, __half *, float *, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const unsigned short **, const __half **, const __half **, const long *, const long *, const __half *, int, int, int, int, int, int, float, int, int, int, int, int *, float *, const long *, int, int)"
0.1,94157053,8316,11322.4,10592.0,8864,15584,1576.3,"void gr_v2_up_i8_state_kernel<(int)8, (bool)1>(const float *, const float *, float *, float *, const signed char *, const float *, const __half *, void *, int, int, int, float)"
0.1,91483756,1932,47351.8,39344.0,27776,98944,17835.9,"void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<(int)3, (int)2, (bool)1>(MoeCoopParams)"
0.1,90491744,13968,6478.5,6464.0,5760,7552,131.4,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_32x10_nn_align8>(T1::Params)
0.1,80751229,20212,3995.2,1888.0,800,27040,2530.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,77161570,9976,7734.7,7744.0,6272,9151,334.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.1,72892467,4140,17606.9,27008.0,992,31584,12723.5,"deinterleave_qg_kernel(const uint4 *, uint4 *, uint4 *, int, unsigned long)"
0.1,67226987,2604,25816.8,25888.0,24032,30368,816.8,"void exl3_mgemm_kernel<(int)4, (bool)1, (int)2, (int)16, (int)32, (int)256, (int)4, (int)3>(const __half *, const unsigned short **, void *, int, int, int, int *, const __half **, __half *, const __half **, long *, __half *, int, int, int, int, int, const int *, void **, const int *, const int *, int)"
0.1,65915790,4140,15921.7,24528.0,736,27072,11452.5,"mul_sigmoid_kernel_h(__half *, const __half *, unsigned long)"
0.1,62286157,3916,15905.6,19424.0,2368,29152,8942.9,_paged_attn_decode_combine_kernel
0.1,61244947,17424,3515.0,3936.0,928,5152,1032.8,l2norm_fwd_kernel
0.1,59214148,4032,14686.0,14624.0,12544,20736,854.6,"void exl3_mgemm_kernel<(int)4, (bool)0, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short **, void *, int, int, int, int *, const __half **, __half *, const __half **, long *, __half *, int, int, int, int, int, const int *, void **, const int *, const int *, int)"
0.1,57792880,23233,2487.5,2464.0,2240,3424,95.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,54859168,4032,13605.9,13968.0,7200,20160,4940.5,"void exl3_gemv_kernel<(int)4, (bool)1, (int)2, (int)1, (int)0, (bool)0>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.1,54479119,1720,31673.9,31312.0,30656,34080,737.5,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_32x6_nn_align8>(T1::Params)
0.1,51655348,1050,49195.6,48496.0,29152,74112,9467.0,"void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<(int)2, (int)2, (bool)0>(MoeCoopParams)"
0.1,51283603,2912,17611.1,2336.0,1376,246400,50905.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,50669244,1050,48256.4,48160.0,32928,67296,7091.6,"void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<(int)2, (int)2, (bool)1>(MoeCoopParams)"
0.1,50199483,488,102867.8,95696.0,2944,200320,83037.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,45375919,23233,1953.1,1952.0,1600,2752,130.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,43287887,966,44811.5,39696.0,33664,73216,10137.9,"void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<(int)3, (int)2, (bool)1>(MoeCoopParams)"
0.1,42718053,11496,3715.9,3712.0,2944,4256,142.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,42507176,966,44003.3,39056.0,30848,78144,12002.7,"void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<(int)3, (int)2, (bool)0>(MoeCoopParams)"
0.1,39832720,11188,3560.3,1152.0,896,11936,4024.8,"void hc_apply_kernel<(int)4, float, (bool)0, (int)32>(float *, const T2 *, const float *, const float *, int, int)"
0.1,39436111,9976,3953.1,3904.0,3776,4736,89.7,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)1, long, long>::operator ()<at::native::ReduceAdd>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,38856431,120,323803.6,323615.0,321567,328638,1493.4,"void exl3_gemv_int8_sq_kernel<(int)6, (int)1, (bool)0, (bool)0>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.1,37800477,326,115952.4,181248.0,2240,183807,83349.7,"void at::native::<unnamed>::conv_depthwise2d_forward_kernel_generic<c10::Half, int>(at::GenericPackedTensorAccessor<const T1, (unsigned long)4, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<T1, (unsigned long)4, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<const T1, (unsigned long)4, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<const T1, (unsigned long)1, at::DefaultPtrTraits, int>, bool, T2, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
0.1,37242870,23681,1572.7,1440.0,1120,15456,1250.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,36995622,1512,24468.0,24416.0,22976,26272,539.4,"void cuda_recurrent_gated_delta_rule_kernel_128<(bool)1, (int)1, (bool)0, __nv_bfloat16>(const __nv_bfloat16 *, const float *, const __nv_bfloat16 *, T4 *, __nv_bfloat16 *, int, int, int, int, int, int, float, const int *, int, const float *)"
0.1,34798211,3072,11327.5,11296.0,10752,13760,286.8,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_64x6_tn_align2>(T1::Params)
0.1,34776468,11496,3025.1,3040.0,2528,3424,143.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,34215011,10012,3417.4,4192.0,640,7904,1473.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,33059360,3088,10705.8,10688.0,9856,11744,278.4,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
0.0,31453796,1520,20693.3,20448.0,20256,24352,387.1,"void at::native::radixSortKVInPlace<(int)-2, (int)-1, (int)64, (int)32, long, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)"
0.0,31229376,128,243979.5,310783.0,87583,623069,115147.4,"void exl3_gemm_kernel<(int)6, (bool)0, (int)2, (int)16, (int)16, (int)512, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.0,30582311,2712,11276.7,5568.0,4928,20480,6728.7,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_nn_align8>(T1::Params)
0.0,28938144,331,87426.4,141088.0,832,145696,66975.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,28200550,15570,1811.2,2176.0,704,3520,609.1,"void act_mul_kernel_h<(int)0>(const __half *, const __half *, __half *, float, unsigned long)"
0.0,26483589,17429,1519.5,1567.0,1120,2688,135.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,25838090,4074,6342.2,5536.0,4384,11744,1586.3,exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
0.0,25800842,8712,2961.5,3296.0,896,4032,841.8,chunk_local_cumsum_scalar_kernel
0.0,25033605,6340,3948.5,4992.0,672,5312,1811.4,_dsa_pool_expand_kernel
0.0,23160245,1008,22976.4,22944.0,21920,28000,638.1,"void exl3_mgemm_kernel<(int)4, (bool)0, (int)2, (int)16, (int)32, (int)256, (int)4, (int)3>(const __half *, const unsigned short **, void *, int, int, int, int *, const __half **, __half *, const __half **, long *, __half *, int, int, int, int, int, const int *, void **, const int *, const int *, int)"
0.0,23121267,1512,15291.8,15264.0,14368,16768,349.6,"void cuda_recurrent_gated_delta_rule_kernel_128<(bool)0, (int)1, (bool)0, __nv_bfloat16>(const __nv_bfloat16 *, const float *, const __nv_bfloat16 *, T4 *, __nv_bfloat16 *, int, int, int, int, int, int, float, const int *, int, const float *)"
0.0,22318011,9976,2237.2,2240.0,2144,2560,43.5,"void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, (bool)0, long, unsigned long long, at_cuda_detail::cub::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,21852736,326,67032.9,104559.5,1632,109472,48861.5,"void rms_norm_kernel<(int)0, float, float, __nv_bfloat16, float>(const T2 *, const T4 *, T3 *, T5 *, float, int, int, float, float, int)"
0.0,21698399,23660,917.1,864.0,800,1760,105.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,20725253,23260,891.0,864.0,800,1216,53.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,19521693,242,80668.2,94832.0,4640,102400,32106.6,"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)"
0.0,18212942,1520,11982.2,11872.0,10816,13856,500.2,"exl3_moe_gather_kernel(float *, const float *, const long *, const long *, const long *, const long *, const long *, const __half *, int, int, int)"
0.0,17487463,4140,4224.0,5952.0,896,6592,2306.8,_qsa_stage_kernel
0.0,16856203,21472,785.0,800.0,735,960,27.0,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,16486894,4074,4046.9,4000.0,3488,5152,269.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(T1::Params)
0.0,14964502,9976,1500.1,1568.0,992,2080,182.7,"at::native::<unnamed>::fill_reverse_indices_kernel(long *, int, at::cuda::detail::IntDivider<unsigned int>)"
0.0,14883182,8712,1708.4,1760.0,1024,2368,247.9,"void gated_delta_net_fused_op_2_kernel<__nv_bfloat16>(const float *, const float *, const __nv_bfloat16 *, const T1 *, __nv_bfloat16 *, float *, int, int, int, int, float)"
0.0,14491341,7252,1998.3,1632.0,1280,3904,788.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,13745823,326,42165.1,65856.0,1632,69792,30608.3,"void rms_norm_kernel<(int)0, float, __half, __nv_bfloat16, float>(const T2 *, const T4 *, T3 *, T5 *, float, int, int, float, float, int)"
0.0,13548961,326,41561.2,65312.0,1632,68000,29897.8,"void rms_norm_kernel<(int)0, __half, float, __nv_bfloat16, __half>(const T2 *, const T4 *, T3 *, T5 *, float, int, int, float, float, int)"
0.0,12906644,1092,11819.3,11424.0,2432,15072,2751.4,_dsa_indexer_fewq_kernel
0.0,12746701,4140,3078.9,3808.0,1536,5536,1090.2,"void rope_kernel<(int)2, (bool)0>(const __half *, __half *, const __half *, __half *, const float *, int, int, int, int, int, int, int, int, int, const unsigned int *, const unsigned int *, float, const void *, const void *, float, float, bool, int, float, int, int, int, int)"
0.0,11851518,326,36354.3,53408.0,1184,65088,26542.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,11729146,4140,2833.1,3392.0,1472,4416,879.3,"void quant_cache_paged_kernel<(int)8, (int)8>(const __half *, unsigned int *, __half *, const __half *, unsigned int *, __half *, const unsigned int *, const unsigned int *, int, int, float, int)"
0.0,11647108,420,27731.2,27680.0,26592,30560,481.1,"void exl3_mgemm_kernel<(int)4, (bool)1, (int)2, (int)16, (int)16, (int)512, (int)4, (int)3>(const __half *, const unsigned short **, void *, int, int, int, int *, const __half **, __half *, const __half **, long *, __half *, int, int, int, int, int, const int *, void **, const int *, const int *, int)"
0.0,11408666,1152,9903.4,9760.0,7808,12640,1876.2,_causal_conv1d_update_slotted_kernel
0.0,10723932,104,103114.7,104192.0,88096,106272,4181.1,"void f16acc::gemm_kernel<(bool)0, (int)64, (bool)1>(const __half *, const __half *, void *, int, int, int, int, long long, long long, long long)"
0.0,10697800,336,31838.7,32192.0,26368,40287,1961.0,"void dsa_topk_split_kernel<(bool)1>(const __half *, int *, __half *, int *, int, int, int, int, const int *, int, int, int)"
0.0,9968415,416,23962.5,18240.0,6624,53920,18625.2,"void reconstruct_had_kernel<(int)6, (int)2>(__half *, const unsigned short *, const __half *, const __half *, int, int)"
0.0,9515669,7560,1258.7,1248.0,992,1824,72.6,_causal_conv1d_update_slotted_state_kernel
